Month,Price$,Change
Jun-90,15.7,-
Jul-90,17.55,11.78%
Aug-90,27.05,54.13%
Sep-90,34.1,26.06%
Oct-90,36.05,5.72%
Nov-90,33,-8.46%
Dec-90,28,-15.15%
Jan-91,23.65,-15.54%
Feb-91,19.4,-17.97%
Mar-91,19.45,0.26%
Apr-91,19.25,-1.03%
May-91,19.3,0.26%
Jun-91,18.2,-5.70%
Jul-91,19.45,6.87%
Aug-91,19.75,1.54%
Sep-91,20.5,3.80%
Oct-91,22.2,8.29%
Nov-91,21.25,-4.28%
Dec-91,18.4,-13.41%
Jan-92,18.15,-1.36%
Feb-92,18.1,-0.28%
Mar-92,17.6,-2.76%
Apr-92,18.95,7.67%
May-92,19.9,5.01%
Jun-92,21.15,6.28%
Jul-92,20.25,-4.26%
Aug-92,19.75,-2.47%
Sep-92,20.25,2.53%
Oct-92,20.3,0.25%
Nov-92,19.2,-5.42%
Dec-92,18.15,-5.47%
Jan-93,17.4,-4.13%
Feb-93,18.45,6.03%
Mar-93,18.75,1.63%
Apr-93,18.65,-0.53%
May-93,18.5,-0.80%
Jun-93,17.65,-4.59%
Jul-93,16.8,-4.82%
Aug-93,16.7,-0.60%
Sep-93,16,-4.19%
Oct-93,16.6,3.75%
Nov-93,15.15,-8.73%
Dec-93,13.6,-10.23%
Jan-94,14.25,4.78%
Feb-94,13.8,-3.16%
Mar-94,13.95,1.09%
Apr-94,15.15,8.60%
May-94,16.2,6.93%
Jun-94,16.75,3.40%
Jul-94,17.6,5.07%
Aug-94,16.8,-4.55%
Sep-94,15.9,-5.36%
Oct-94,16.4,3.14%
Nov-94,17.2,4.88%
Dec-94,15.96,-7.21%
Jan-95,16.63,4.20%
Feb-95,17.08,2.71%
Mar-95,17.01,-0.41%
Apr-95,18.67,9.76%
May-95,18.38,-1.55%
Jun-95,17.35,-5.60%
Jul-95,15.86,-8.59%
Aug-95,16.07,1.32%
Sep-95,16.78,4.42%
Oct-95,16.12,-3.93%
Nov-95,16.88,4.71%
Dec-95,17.96,6.40%
Jan-96,17.94,-0.11%
Feb-96,17.97,0.17%
Mar-96,19.99,11.24%
Apr-96,21.01,5.10%
May-96,19.12,-9.00%
Jun-96,18.27,-4.45%
Jul-96,19.61,7.33%
Aug-96,20.58,4.95%
Sep-96,22.59,9.77%
Oct-96,24.18,7.04%
Nov-96,22.64,-6.37%
Dec-96,23.9,5.57%
Jan-97,23.47,-1.80%
Feb-97,20.83,-11.25%
Mar-97,19.21,-7.78%
Apr-97,17.47,-9.06%
May-97,19.14,9.56%
Jun-97,17.55,-8.31%
Jul-97,18.4,4.84%
Aug-97,18.71,1.68%
Sep-97,18.45,-1.39%
Oct-97,19.85,7.59%
Nov-97,19,-4.28%
Dec-97,17,-10.53%
Jan-98,15.09,-11.24%
Feb-98,14.06,-6.83%
Mar-98,13.08,-6.97%
Apr-98,13.39,2.37%
May-98,14.39,7.47%
Jun-98,12.06,-16.19%
Jul-98,12.01,-0.41%
Aug-98,11.88,-1.08%
Sep-98,13.36,12.46%
Oct-98,12.56,-5.99%
Nov-98,10.92,-13.06%
Dec-98,9.8,-10.26%
Jan-99,11.06,12.86%
Feb-99,10.2,-7.78%
Mar-99,12.47,22.25%
Apr-99,15.3,22.69%
May-99,15.14,-1.05%
Jun-99,15.77,4.16%
Jul-99,19.01,20.55%
Aug-99,20.22,6.37%
Sep-99,22.4,10.78%
Oct-99,21.95,-2.01%
Nov-99,24.59,12.03%
Dec-99,25.59,4.07%
Jan-00,25.38,-0.82%
Feb-00,27.7,9.14%
Mar-00,27.47,-0.83%
Apr-00,22.54,-17.95%
May-00,27.34,21.30%
Jun-00,29.68,8.56%
Jul-00,28.53,-3.87%
Aug-00,29.43,3.15%
Sep-00,32.62,10.84%
Oct-00,30.93,-5.18%
Nov-00,32.52,5.14%
Dec-00,25.13,-22.72%
Jan-01,25.64,2.03%
Feb-01,27.41,6.90%
Mar-01,24.4,-10.98%
Apr-01,25.64,5.08%
May-01,28.45,10.96%
Jun-01,27.72,-2.57%
Jul-01,24.54,-11.47%
Aug-01,25.7,4.73%
Sep-01,25.54,-0.62%
Oct-01,20.48,-19.81%
Nov-01,18.94,-7.52%
Dec-01,18.6,-1.80%
Jan-02,19.49,4.78%
Feb-02,20.29,4.10%
Mar-02,23.69,16.76%
Apr-02,25.65,8.27%
May-02,25.39,-1.01%
Jun-02,24.13,-4.96%
Jul-02,25.77,6.80%
Aug-02,26.63,3.34%
Sep-02,28.34,6.42%
Oct-02,27.55,-2.79%
Nov-02,24.18,-12.23%
Dec-02,28.52,17.95%
Jan-03,31.25,9.57%
Feb-03,32.65,4.48%
Mar-03,30.34,-7.08%
Apr-03,25.02,-17.53%
