SN,Year,Month,Mumbai Rupees per 10gms,London $ per troy oz.,London Rupees per 10gms.
1,1990,Apr-90,3416.5,374.93,2083.41
2,1990,May-90,3431.4,368.85,2055.34
3,1990,Jun-90,3314.35,352.66,1975.57
4,1990,Jul-90,3284.8,361.82,2044.55
5,1990,Aug-90,3414.71,394.86,2204.39
6,1990,Sep-90,3409.05,389.56,2238.52
7,1990,Oct-90,3490.76,381.33,2216.84
8,1990,Nov-90,3460.52,381.87,2219.69
9,1990,Dec-90,3453.2,378.16,2204.34
10,1991,Jan-91,3687.52,384.59,2266.55
11,1991,Feb-91,3534.78,363.75,2205.91
12,1991,Mar-91,3520.7,363.39,2256.06
13,1991,Apr-91,3583.35,358.05,2294.56
14,1991,May-91,3750.77,357.13,2362.66
15,1991,Jun-91,3733.87,366.43,2477.25
16,1991,Jul-91,4065.54,368.01,3027.32
17,1991,Aug-91,4187.08,356.66,2957.29
18,1991,Sep-91,4246.48,348.46,2898.23
19,1991,Oct-91,4491.28,358.83,2987.56
20,1991,Nov-91,4713.55,360.5,2997.23
21,1991,Dec-91,4883.2,361.88,3010.74
22,1992,Jan-92,4930.84,354.33,2953.14
23,1992,Feb-92,4737.79,353.85,2948.29
24,1992,Mar-92,4247.79,344.64,3178.62
25,1992,Apr-92,4497.18,338.73,3365.7
26,1992,May-92,4176.77,337.04,3287.43
27,1992,Jun-92,4110.15,340.78,3313.26
28,1992,Jul-92,4136.55,352.45,3428
29,1992,Aug-92,4094,343.6,3323.88
30,1992,Sep-92,4086.13,345.3,3336.85
31,1992,Oct-92,4079,344.26,3320.23
32,1992,Nov-92,3998.61,334.91,3241.48
33,1992,Dec-92,3966.81,334.69,3305.05
34,1993,Jan-93,3977.24,329.15,3271.32
35,1993,Feb-93,4027.1,329.31,3457.45
36,1993,Mar-93,4094.39,330.03,3344.74
37,1993,Apr-93,4331.27,341.95,3446.9
38,1993,May-93,4518.5,366.48,3697.13
39,1993,Jun-93,4468.2,371.91,3752.33
40,1993,Jul-93,4564.59,391.69,3957.87
41,1993,Aug-93,4526.57,379.8,3819.41
42,1993,Sep-93,4401.63,355.36,3584.3
43,1993,Oct-93,4483.64,364,3671.37
44,1993,Nov-93,4587.09,374.22,3773.22
45,1993,Dec-93,4637.46,383.25,3865.33
46,1994,Jan-94,4659.04,387.11,3907.58
47,1994,Feb-94,4606.21,381.66,3849.28
48,1994,Mar-94,4598.19,383.65,3870.67
49,1994,Apr-94,4641.04,378.19,3814.2
50,1994,May-94,4665.38,381.34,3842.86
51,1994,Jun-94,4593.58,385.51,3885.92
52,1994,Jul-94,4597.42,385.41,3887.18
